# Pixel_X Pixel_Y Center Sum_C Sum_U Sum_D Sum_L Sum_R Avg0_C Avg0_U Avg0_D Avg0_L Avg0_R
0 0 0 -12740 -7644 -7644 -7680 -7620 -510 -510 -510 -512 -508
1 0 4 -12680 -7608 -7608 -7660 -7560 -508 -508 -508 -511 -504
2 0 8 -12600 -7560 -7560 -7620 -7500 -504 -504 -504 -508 -500
3 0 12 -12500 -7500 -7500 -7560 -7440 -500 -500 -500 -504 -496
4 0 16 -12400 -7440 -7440 -7500 -7380 -496 -496 -496 -500 -492
5 0 20 -12300 -7380 -7380 -7440 -7320 -492 -492 -492 -496 -488
6 0 24 -12200 -7320 -7320 -7380 -7260 -488 -488 -488 -492 -484
7 0 28 -12100 -7260 -7260 -7320 -7200 -484 -484 -484 -488 -480
8 0 32 -12000 -7200 -7200 -7260 -7140 -480 -480 -480 -484 -476
9 0 36 -11900 -7140 -7140 -7200 -7080 -476 -476 -476 -480 -472
10 0 40 -11800 -7080 -7080 -7140 -7020 -472 -472 -472 -476 -468
11 0 44 -11700 -7020 -7020 -7080 -6960 -468 -468 -468 -472 -464
12 0 48 -11600 -6960 -6960 -7020 -6900 -464 -464 -464 -468 -460
13 0 52 -11500 -6900 -6900 -6960 -6840 -460 -460 -460 -464 -456
14 0 56 -11420 -6852 -6852 -6900 -6800 -457 -457 -457 -460 -454
15 0 60 -11360 -6816 -6816 -6840 -6780 -455 -455 -455 -456 -452
0 1 64 -11140 -6684 -6684 -6720 -6660 -446 -446 -446 -448 -444
1 1 68 -11080 -6648 -6648 -6700 -6600 -444 -444 -444 -447 -440
2 1 72 -11000 -6600 -6600 -6660 -6540 -440 -440 -440 -444 -436
3 1 76 -10900 -6540 -6540 -6600 -6480 -436 -436 -436 -440 -432
4 1 80 -10800 -6480 -6480 -6540 -6420 -432 -432 -432 -436 -428
5 1 84 -10700 -6420 -6420 -6480 -6360 -428 -428 -428 -432 -424
6 1 88 -10600 -6360 -6360 -6420 -6300 -424 -424 -424 -428 -420
7 1 92 -10500 -6300 -6300 -6360 -6240 -420 -420 -420 -424 -416
8 1 96 -10400 -6240 -6240 -6300 -6180 -416 -416 -416 -420 -412
9 1 100 -10300 -6180 -6180 -6240 -6120 -412 -412 -412 -416 -408
10 1 104 -10200 -6120 -6120 -6180 -6060 -408 -408 -408 -412 -404
11 1 108 -10100 -6060 -6060 -6120 -6000 -404 -404 -404 -408 -400
12 1 112 -10000 -6000 -6000 -6060 -5940 -400 -400 -400 -404 -396
13 1 116 -9900 -5940 -5940 -6000 -5880 -396 -396 -396 -400 -392
14 1 120 -9820 -5892 -5892 -5940 -5840 -393 -393 -393 -396 -390
15 1 124 -9760 -5856 -5856 -5880 -5820 -391 -391 -391 -392 -388
0 2 123 -8511 -5655 -4741 -5229 -5025 -341 -377 -317 -349 -335
1 2 124 -8304 -5472 -4656 -5218 -4818 -333 -365 -311 -348 -322
2 2 182 -8080 -5280 -4560 -5025 -4605 -324 -352 -304 -335 -307
3 2 184 -7842 -5082 -4454 -4818 -4560 -314 -339 -297 -322 -304
4 2 187 -7598 -4878 -4346 -4605 -4512 -304 -326 -290 -307 -301
5 2 189 -7519 -4839 -4293 -4560 -4464 -301 -323 -287 -304 -298
6 2 192 -7440 -4800 -4240 -4512 -4416 -298 -320 -283 -301 -295
7 2 195 -7361 -4761 -4187 -4464 -4368 -295 -318 -280 -298 -292
8 2 197 -7282 -4722 -4134 -4416 -4323 -292 -315 -276 -295 -289
9 2 200 -7203 -4683 -4081 -4368 -4275 -289 -313 -273 -292 -285
10 2 202 -7127 -4647 -4029 -4323 -4230 -286 -310 -269 -289 -282
11 2 205 -7045 -4605 -3975 -4275 -4179 -282 -307 -265 -285 -279
12 2 207 -7119 -4719 -3973 -4230 -4284 -285 -315 -265 -282 -286
13 2 211 -7184 -4824 -3968 -4179 -4380 -288 -322 -265 -279 -292
14 2 162 -7266 -4938 -3974 -4284 -4496 -291 -330 -265 -286 -300
15 2 167 -7362 -5058 -3990 -4380 -4473 -295 -338 -266 -292 -299
0 3 155 -7421 -5205 -3951 -4557 -4383 -297 -347 -264 -304 -293
1 3 157 -7244 -5052 -3876 -4543 -4206 -290 -337 -259 -303 -281
2 3 203 -7032 -4872 -3784 -4383 -4008 -282 -325 -253 -293 -268
3 3 206 -6803 -4683 -3681 -4206 -3939 -273 -313 -246 -281 -263
4 3 215 -6571 -4491 -3577 -4008 -3870 -263 -300 -239 -268 -258
5 3 218 -6471 -4431 -3517 -3939 -3822 -259 -296 -235 -263 -255
6 3 221 -6371 -4371 -3457 -3870 -3774 -255 -292 -231 -258 -252
7 3 223 -6289 -4329 -3403 -3822 -3726 -252 -289 -227 -255 -249
8 3 226 -6210 -4290 -3350 -3774 -3678 -249 -286 -224 -252 -246
9 3 229 -6131 -4251 -3297 -3726 -3630 -246 -284 -220 -249 -242
10 3 231 -6058 -4218 -3246 -3678 -3591 -243 -282 -217 -246 -240
11 3 234 -5991 -4191 -3197 -3630 -3555 -240 -280 -214 -242 -237
12 3 234 -6044 -4284 -3188 -3591 -3639 -242 -286 -213 -240 -243
13 3 235 -6094 -4374 -3178 -3555 -3714 -244 -292 -212 -237 -248
